target,fold,seed,logloss,mean,std
Q1,1,777,0.5939161697085591,0.5897099095137782,0.03196038521783468
Q1,2,777,0.6361717131647937,0.5897099095137782,0.03196038521783468
Q1,3,777,0.6076939589407205,0.5897099095137782,0.03196038521783468
Q1,4,777,0.5796315510699457,0.5897099095137782,0.03196038521783468
Q1,0,555,0.6293224885755724,0.5897099095137782,0.03196038521783468
Q1,1,555,0.5741461501425017,0.5897099095137782,0.03196038521783468
Q1,2,555,0.5491160416933092,0.5897099095137782,0.03196038521783468
Q1,3,555,0.6448145489296824,0.5897099095137782,0.03196038521783468
Q1,4,555,0.5819467891986989,0.5897099095137782,0.03196038521783468
Q2,0,42,0.5760078509487895,0.5797437479301609,0.03482170127308034
Q2,1,42,0.5587185384853858,0.5797437479301609,0.03482170127308034
Q2,2,42,0.561103097366993,0.5797437479301609,0.03482170127308034
Q2,3,42,0.5960340546295964,0.5797437479301609,0.03482170127308034
Q2,4,42,0.6331084320087677,0.5797437479301609,0.03482170127308034
Q2,0,1234,0.5497934956896023,0.5797437479301609,0.03482170127308034
Q2,1,1234,0.5594350478792333,0.5797437479301609,0.03482170127308034
Q2,2,1234,0.6456922373211639,0.5797437479301609,0.03482170127308034
Q2,3,1234,0.5477067571973734,0.5797437479301609,0.03482170127308034
Q2,4,1234,0.643744948395474,0.5797437479301609,0.03482170127308034
Q2,0,9999,0.5671838084379911,0.5797437479301609,0.03482170127308034
Q2,1,9999,0.5829268871759081,0.5797437479301609,0.03482170127308034
Q2,2,9999,0.5786736433957846,0.5797437479301609,0.03482170127308034
Q2,3,9999,0.6333362306899897,0.5797437479301609,0.03482170127308034
Q2,4,9999,0.5993643438137737,0.5797437479301609,0.03482170127308034
Q2,0,7,0.4747880313919817,0.5797437479301609,0.03482170127308034
Q2,1,7,0.5947013555654123,0.5797437479301609,0.03482170127308034
Q2,2,7,0.587715878412446,0.5797437479301609,0.03482170127308034
